"iter","env2_sgd_2500-3000 - EMA/CV","env2_sgd_2500-3000 - EMA/CV__MIN","env2_sgd_2500-3000 - EMA/CV__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/CV","env2_lion_shock_2500-3000 - EMA/CV__MIN","env2_lion_shock_2500-3000 - EMA/CV__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/CV","env2_muon_shock_2500-3000 - EMA/CV__MIN","env2_muon_shock_2500-3000 - EMA/CV__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/CV","env2_adamw_shock_2500-3000 - EMA/CV__MIN","env2_adamw_shock_2500-3000 - EMA/CV__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1500","0.26331597461001816","0.26331597461001816","0.26331597461001816","30","30","30","0.2923200739580946","0.2923200739580946","0.2923200739580946","30","30","30","0.3285792511893417","0.3285792511893417","0.3285792511893417","30","30","30","0.4798938141760669","0.4798938141760669","0.4798938141760669","30","30","30"
"1550","0.2585990851473766","0.2585990851473766","0.2585990851473766","31","31","31","0.2930307457019038","0.2930307457019038","0.2930307457019038","31","31","31","0.29580698462089366","0.29580698462089366","0.29580698462089366","31","31","31","0.4763416430660317","0.4763416430660317","0.4763416430660317","31","31","31"
"1600","0.2729575187130504","0.2729575187130504","0.2729575187130504","32","32","32","0.29093299535521727","0.29093299535521727","0.29093299535521727","32","32","32","0.3093432281240533","0.3093432281240533","0.3093432281240533","32","32","32","0.47922703238088316","0.47922703238088316","0.47922703238088316","32","32","32"
"1650","0.26099815364480033","0.26099815364480033","0.26099815364480033","33","33","33","0.29305760549978194","0.29305760549978194","0.29305760549978194","33","33","33","0.3150846196333571","0.3150846196333571","0.3150846196333571","33","33","33","0.4718531757302875","0.4718531757302875","0.4718531757302875","33","33","33"
"1700","0.2761300181617587","0.2761300181617587","0.2761300181617587","34","34","34","0.29285271306468963","0.29285271306468963","0.29285271306468963","34","34","34","0.2998716556239867","0.2998716556239867","0.2998716556239867","34","34","34","0.4770967007440232","0.4770967007440232","0.4770967007440232","34","34","34"
"1750","0.2781954586730976","0.2781954586730976","0.2781954586730976","35","35","35","0.29237022817285824","0.29237022817285824","0.29237022817285824","35","35","35","0.3041451200582588","0.3041451200582588","0.3041451200582588","35","35","35","0.4715311547949811","0.4715311547949811","0.4715311547949811","35","35","35"
"1800","0.27557467973125627","0.27557467973125627","0.27557467973125627","36","36","36","0.28867581622791016","0.28867581622791016","0.28867581622791016","36","36","36","0.2907596009411588","0.2907596009411588","0.2907596009411588","36","36","36","0.4703092999606321","0.4703092999606321","0.4703092999606321","36","36","36"
"1850","0.2757054361682205","0.2757054361682205","0.2757054361682205","37","37","37","0.2817390389116264","0.2817390389116264","0.2817390389116264","37","37","37","0.2831208270459343","0.2831208270459343","0.2831208270459343","37","37","37","0.4550399190771007","0.4550399190771007","0.4550399190771007","37","37","37"
"1900","0.2758085272207736","0.2758085272207736","0.2758085272207736","38","38","38","0.29985309277496613","0.29985309277496613","0.29985309277496613","38","38","38","0.27345334707984104","0.27345334707984104","0.27345334707984104","38","38","38","0.4612211773326236","0.4612211773326236","0.4612211773326236","38","38","38"
"1950","0.2759119784277463","0.2759119784277463","0.2759119784277463","39","39","39","0.2919676555608884","0.2919676555608884","0.2919676555608884","39","39","39","0.30006031667560323","0.30006031667560323","0.30006031667560323","39","39","39","0.47125650332998525","0.47125650332998525","0.47125650332998525","39","39","39"
"2000","0.271491669206303","0.271491669206303","0.271491669206303","40","40","40","0.2924737741719469","0.2924737741719469","0.2924737741719469","40","40","40","0.2843839245263647","0.2843839245263647","0.2843839245263647","40","40","40","0.4640673394324223","0.4640673394324223","0.4640673394324223","40","40","40"
"2050","0.27619027847357097","0.27619027847357097","0.27619027847357097","41","41","41","0.290398410279081","0.290398410279081","0.290398410279081","41","41","41","0.29240675572445013","0.29240675572445013","0.29240675572445013","41","41","41","0.4646571052250297","0.4646571052250297","0.4646571052250297","41","41","41"
"2100","0.2833832392248307","0.2833832392248307","0.2833832392248307","42","42","42","0.298347934023867","0.298347934023867","0.298347934023867","42","42","42","0.2937356812810309","0.2937356812810309","0.2937356812810309","42","42","42","0.46523605474939006","0.46523605474939006","0.46523605474939006","42","42","42"
"2150","0.28488346468337766","0.28488346468337766","0.28488346468337766","43","43","43","0.28796087947010957","0.28796087947010957","0.28796087947010957","43","43","43","0.2824432069623975","0.2824432069623975","0.2824432069623975","43","43","43","0.45975084799562077","0.45975084799562077","0.45975084799562077","43","43","43"
"2200","0.2781054750274288","0.2781054750274288","0.2781054750274288","44","44","44","0.2860216052411608","0.2860216052411608","0.2860216052411608","44","44","44","0.2769463129737645","0.2769463129737645","0.2769463129737645","44","44","44","0.4568828552560166","0.4568828552560166","0.4568828552560166","44","44","44"
"2250","0.2811156398276821","0.2811156398276821","0.2811156398276821","45","45","45","0.288845191437514","0.288845191437514","0.288845191437514","45","45","45","0.27736252835740777","0.27736252835740777","0.27736252835740777","45","45","45","0.4594047329437429","0.4594047329437429","0.4594047329437429","45","45","45"
"2300","0.28422028004807265","0.28422028004807265","0.28422028004807265","46","46","46","0.2876227625990207","0.2876227625990207","0.2876227625990207","46","46","46","0.27217849226345225","0.27217849226345225","0.27217849226345225","46","46","46","0.4525465959777714","0.4525465959777714","0.4525465959777714","46","46","46"
"2350","0.30383838362820353","0.30383838362820353","0.30383838362820353","47","47","47","0.2957886876273355","0.2957886876273355","0.2957886876273355","47","47","47","0.27893235837880276","0.27893235837880276","0.27893235837880276","47","47","47","0.45955590690664966","0.45955590690664966","0.45955590690664966","47","47","47"
"2400","0.29009122609041327","0.29009122609041327","0.29009122609041327","48","48","48","0.2829070042931563","0.2829070042931563","0.2829070042931563","48","48","48","0.26664008539293366","0.26664008539293366","0.26664008539293366","48","48","48","0.45672125254067697","0.45672125254067697","0.45672125254067697","48","48","48"
"2450","0.3015827378655161","0.3015827378655161","0.3015827378655161","49","49","49","0.2924940184864228","0.2924940184864228","0.2924940184864228","49","49","49","0.2675748332340396","0.2675748332340396","0.2675748332340396","49","49","49","0.46298683076779207","0.46298683076779207","0.46298683076779207","49","49","49"
"2455","0.2945501539441612","0.2945501539441612","0.2945501539441612","50","50","50","0.2840851420744918","0.2840851420744918","0.2840851420744918","50","50","50","0.267916745750874","0.267916745750874","0.267916745750874","50","50","50","0.445374180774413","0.445374180774413","0.445374180774413","50","50","50"
"2460","0.2817303419372048","0.2817303419372048","0.2817303419372048","51","51","51","0.2881391384132204","0.2881391384132204","0.2881391384132204","51","51","51","0.26053363960018805","0.26053363960018805","0.26053363960018805","51","51","51","0.443297685839295","0.443297685839295","0.443297685839295","51","51","51"
"2465","0.2994953513517067","0.2994953513517067","0.2994953513517067","52","52","52","0.2899054732600657","0.2899054732600657","0.2899054732600657","52","52","52","0.2774394077182812","0.2774394077182812","0.2774394077182812","52","52","52","0.4535115085460468","0.4535115085460468","0.4535115085460468","52","52","52"
"2470","0.3092612885830495","0.3092612885830495","0.3092612885830495","53","53","53","0.28525617058991987","0.28525617058991987","0.28525617058991987","53","53","53","0.2788934283004931","0.2788934283004931","0.2788934283004931","53","53","53","0.4612992945419194","0.4612992945419194","0.4612992945419194","53","53","53"
"2475","0.289937503358295","0.289937503358295","0.289937503358295","54","54","54","0.28644778139707616","0.28644778139707616","0.28644778139707616","54","54","54","0.27250835397135414","0.27250835397135414","0.27250835397135414","54","54","54","0.4611298858710054","0.4611298858710054","0.4611298858710054","54","54","54"
"2480","0.28269198009707003","0.28269198009707003","0.28269198009707003","55","55","55","0.2861977887178731","0.2861977887178731","0.2861977887178731","55","55","55","0.27174716160451345","0.27174716160451345","0.27174716160451345","55","55","55","0.46447268483236165","0.46447268483236165","0.46447268483236165","55","55","55"
"2485","0.28769830279170555","0.28769830279170555","0.28769830279170555","56","56","56","0.2861343513499898","0.2861343513499898","0.2861343513499898","56","56","56","0.2724918986499176","0.2724918986499176","0.2724918986499176","56","56","56","0.4640181287621451","0.4640181287621451","0.4640181287621451","56","56","56"
"2490","0.29410687055217677","0.29410687055217677","0.29410687055217677","57","57","57","0.29303119772944747","0.29303119772944747","0.29303119772944747","57","57","57","0.2726010082991361","0.2726010082991361","0.2726010082991361","57","57","57","0.4693399743587821","0.4693399743587821","0.4693399743587821","57","57","57"
"2495","0.2778381418422814","0.2778381418422814","0.2778381418422814","58","58","58","0.2854443277752081","0.2854443277752081","0.2854443277752081","58","58","58","0.2607778111618734","0.2607778111618734","0.2607778111618734","58","58","58","0.46390571097140826","0.46390571097140826","0.46390571097140826","58","58","58"
