"iter","env2_sgd_2500-3000 - train/loss_instant","env2_sgd_2500-3000 - train/loss_instant__MIN","env2_sgd_2500-3000 - train/loss_instant__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/loss_instant","env2_lion_shock_2500-3000 - train/loss_instant__MIN","env2_lion_shock_2500-3000 - train/loss_instant__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/loss_instant","env2_muon_shock_2500-3000 - train/loss_instant__MIN","env2_muon_shock_2500-3000 - train/loss_instant__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/loss_instant","env2_adamw_shock_2500-3000 - train/loss_instant__MIN","env2_adamw_shock_2500-3000 - train/loss_instant__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1800","6.668823719024658","6.668823719024658","6.668823719024658","36","36","36","3.8594794273376465","3.8594794273376465","3.8594794273376465","36","36","36","3.9645872116088867","3.9645872116088867","3.9645872116088867","36","36","36","3.81064510345459","3.81064510345459","3.81064510345459","36","36","36"
"1850","6.652450084686279","6.652450084686279","6.652450084686279","37","37","37","3.8941633701324463","3.8941633701324463","3.8941633701324463","37","37","37","3.997667074203491","3.997667074203491","3.997667074203491","37","37","37","3.8411054611206055","3.8411054611206055","3.8411054611206055","37","37","37"
"1900","6.507267475128174","6.507267475128174","6.507267475128174","38","38","38","3.715162515640259","3.715162515640259","3.715162515640259","38","38","38","3.830237865447998","3.830237865447998","3.830237865447998","38","38","38","3.6747803688049316","3.6747803688049316","3.6747803688049316","38","38","38"
"1950","6.442255020141602","6.442255020141602","6.442255020141602","39","39","39","4.026828289031982","4.026828289031982","4.026828289031982","39","39","39","4.126509666442871","4.126509666442871","4.126509666442871","39","39","39","3.970529079437256","3.970529079437256","3.970529079437256","39","39","39"
"2000","6.525085926055908","6.525085926055908","6.525085926055908","40","40","40","3.8179049491882324","3.8179049491882324","3.8179049491882324","40","40","40","3.93876051902771","3.93876051902771","3.93876051902771","40","40","40","3.791426181793213","3.791426181793213","3.791426181793213","40","40","40"
"2050","6.6846842765808105","6.6846842765808105","6.6846842765808105","41","41","41","3.9227328300476074","3.9227328300476074","3.9227328300476074","41","41","41","4.051329612731934","4.051329612731934","4.051329612731934","41","41","41","3.8851075172424316","3.8851075172424316","3.8851075172424316","41","41","41"
"2100","6.298682689666748","6.298682689666748","6.298682689666748","42","42","42","3.7220661640167236","3.7220661640167236","3.7220661640167236","42","42","42","3.835529088973999","3.835529088973999","3.835529088973999","42","42","42","3.6834990978240967","3.6834990978240967","3.6834990978240967","42","42","42"
"2150","6.520721435546875","6.520721435546875","6.520721435546875","43","43","43","3.9653236865997314","3.9653236865997314","3.9653236865997314","43","43","43","4.067251205444336","4.067251205444336","4.067251205444336","43","43","43","3.9185051918029785","3.9185051918029785","3.9185051918029785","43","43","43"
"2200","6.4698991775512695","6.4698991775512695","6.4698991775512695","44","44","44","3.781144618988037","3.781144618988037","3.781144618988037","44","44","44","3.9022414684295654","3.9022414684295654","3.9022414684295654","44","44","44","3.7320542335510254","3.7320542335510254","3.7320542335510254","44","44","44"
"2250","6.557707786560059","6.557707786560059","6.557707786560059","45","45","45","3.845829963684082","3.845829963684082","3.845829963684082","45","45","45","3.9782793521881104","3.9782793521881104","3.9782793521881104","45","45","45","3.799382209777832","3.799382209777832","3.799382209777832","45","45","45"
"2300","6.135518550872803","6.135518550872803","6.135518550872803","46","46","46","3.6843135356903076","3.6843135356903076","3.6843135356903076","46","46","46","3.804197072982788","3.804197072982788","3.804197072982788","46","46","46","3.666008234024048","3.666008234024048","3.666008234024048","46","46","46"
"2350","6.511303901672363","6.511303901672363","6.511303901672363","47","47","47","3.7808969020843506","3.7808969020843506","3.7808969020843506","47","47","47","3.9307799339294434","3.9307799339294434","3.9307799339294434","47","47","47","3.7594428062438965","3.7594428062438965","3.7594428062438965","47","47","47"
"2400","6.4660258293151855","6.4660258293151855","6.4660258293151855","48","48","48","3.7404189109802246","3.7404189109802246","3.7404189109802246","48","48","48","3.853264093399048","3.853264093399048","3.853264093399048","48","48","48","3.7104923725128174","3.7104923725128174","3.7104923725128174","48","48","48"
"2450","6.467371940612793","6.467371940612793","6.467371940612793","49","49","49","3.638702392578125","3.638702392578125","3.638702392578125","49","49","49","3.7993240356445312","3.7993240356445312","3.7993240356445312","49","49","49","3.627990484237671","3.627990484237671","3.627990484237671","49","49","49"
"2455","6.37928581237793","6.37928581237793","6.37928581237793","50","50","50","3.6667940616607666","3.6667940616607666","3.6667940616607666","50","50","50","3.8032779693603516","3.8032779693603516","3.8032779693603516","50","50","50","3.6344852447509766","3.6344852447509766","3.6344852447509766","50","50","50"
"2460","6.366002082824707","6.366002082824707","6.366002082824707","51","51","51","3.7186601161956787","3.7186601161956787","3.7186601161956787","51","51","51","3.850201368331909","3.850201368331909","3.850201368331909","51","51","51","3.7108805179595947","3.7108805179595947","3.7108805179595947","51","51","51"
"2465","6.237573623657227","6.237573623657227","6.237573623657227","52","52","52","3.656864643096924","3.656864643096924","3.656864643096924","52","52","52","3.7761070728302","3.7761070728302","3.7761070728302","52","52","52","3.6325087547302246","3.6325087547302246","3.6325087547302246","52","52","52"
"2470","6.082396030426025","6.082396030426025","6.082396030426025","53","53","53","3.825361490249634","3.825361490249634","3.825361490249634","53","53","53","3.827845335006714","3.827845335006714","3.827845335006714","53","53","53","3.508075475692749","3.508075475692749","3.508075475692749","53","53","53"
"2475","6.393929481506348","6.393929481506348","6.393929481506348","54","54","54","3.724534034729004","3.724534034729004","3.724534034729004","54","54","54","3.8723256587982178","3.8723256587982178","3.8723256587982178","54","54","54","3.716054677963257","3.716054677963257","3.716054677963257","54","54","54"
"2480","6.380034446716309","6.380034446716309","6.380034446716309","55","55","55","3.687697410583496","3.687697410583496","3.687697410583496","55","55","55","3.851498603820801","3.851498603820801","3.851498603820801","55","55","55","3.691659927368164","3.691659927368164","3.691659927368164","55","55","55"
"2485","6.390413284301758","6.390413284301758","6.390413284301758","56","56","56","3.7384626865386963","3.7384626865386963","3.7384626865386963","56","56","56","3.8790526390075684","3.8790526390075684","3.8790526390075684","56","56","56","3.7266597747802734","3.7266597747802734","3.7266597747802734","56","56","56"
