"iter","env2_sgd_2500-3000 - EMA/Grad_Norm","env2_sgd_2500-3000 - EMA/Grad_Norm__MIN","env2_sgd_2500-3000 - EMA/Grad_Norm__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Grad_Norm","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Grad_Norm","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Grad_Norm","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2490","2.4763074672909364","2.4763074672909364","2.4763074672909364","57","57","57","0.3333079195579321","0.3333079195579321","0.3333079195579321","57","57","57","0.34269008481219293","0.34269008481219293","0.34269008481219293","57","57","57","0.2855652583819317","0.2855652583819317","0.2855652583819317","57","57","57"
"2495","2.5636571165977853","2.5636571165977853","2.5636571165977853","58","58","58","0.3300454507530897","0.3300454507530897","0.3300454507530897","58","58","58","0.36156633868683585","0.36156633868683585","0.36156633868683585","58","58","58","0.2942767584224199","0.2942767584224199","0.2942767584224199","58","58","58"
"2500","6.626871695948455","6.626871695948455","6.626871695948455","59","59","59","1.6796622872767168","1.6796622872767168","1.6796622872767168","59","59","59","1.4682291608701799","1.4682291608701799","1.4682291608701799","59","59","59","1.2249462894146945","1.2249462894146945","1.2249462894146945","59","59","59"
"2505","19.707386636579105","19.707386636579105","19.707386636579105","60","60","60","5.407008333364767","5.407008333364767","5.407008333364767","60","60","60","2.682054634112328","2.682054634112328","2.682054634112328","60","60","60","4.660737098260183","4.660737098260183","4.660737098260183","60","60","60"
"2510","20.764616047012893","20.764616047012893","20.764616047012893","61","61","61","5.361397591277594","5.361397591277594","5.361397591277594","61","61","61","3.0723787532210363","3.0723787532210363","3.0723787532210363","61","61","61","3.882599045968387","3.882599045968387","3.882599045968387","61","61","61"
"2515","15.846158754333617","15.846158754333617","15.846158754333617","62","62","62","4.334590169640172","4.334590169640172","4.334590169640172","62","62","62","2.3133553782381147","2.3133553782381147","2.3133553782381147","62","62","62","3.0309351695929014","3.0309351695929014","3.0309351695929014","62","62","62"
"2520","12.215942337149626","12.215942337149626","12.215942337149626","63","63","63","3.558418176530652","3.558418176530652","3.558418176530652","63","63","63","2.009788978503167","2.009788978503167","2.009788978503167","63","63","63","2.4141544629467955","2.4141544629467955","2.4141544629467955","63","63","63"
"2525","9.74717358740974","9.74717358740974","9.74717358740974","64","64","64","2.9000222047023803","2.9000222047023803","2.9000222047023803","64","64","64","1.5104471245227955","1.5104471245227955","1.5104471245227955","64","64","64","1.9031320271148384","1.9031320271148384","1.9031320271148384","64","64","64"
"2530","8.141110500537891","8.141110500537891","8.141110500537891","65","65","65","2.4135478638076284","2.4135478638076284","2.4135478638076284","65","65","65","1.3718172566638842","1.3718172566638842","1.3718172566638842","65","65","65","1.4509552813581603","1.4509552813581603","1.4509552813581603","65","65","65"
"2535","6.793207519942624","6.793207519942624","6.793207519942624","66","66","66","2.0840844910972995","2.0840844910972995","2.0840844910972995","66","66","66","1.1529482319837923","1.1529482319837923","1.1529482319837923","66","66","66","1.0963694318863357","1.0963694318863357","1.0963694318863357","66","66","66"
"2540","5.450202749638589","5.450202749638589","5.450202749638589","67","67","67","1.7887634985135668","1.7887634985135668","1.7887634985135668","67","67","67","1.021053294477771","1.021053294477771","1.021053294477771","67","67","67","0.7958763070932979","0.7958763070932979","0.7958763070932979","67","67","67"
"2545","5.551965443120182","5.551965443120182","5.551965443120182","68","68","68","1.6825984659868338","1.6825984659868338","1.6825984659868338","68","68","68","0.8443558890156296","0.8443558890156296","0.8443558890156296","68","68","68","0.8074981175147088","0.8074981175147088","0.8074981175147088","68","68","68"
"2550","5.496425272290554","5.496425272290554","5.496425272290554","69","69","69","1.5319534507393882","1.5319534507393882","1.5319534507393882","69","69","69","0.8129688353313571","0.8129688353313571","0.8129688353313571","69","69","69","0.6678597072301158","0.6678597072301158","0.6678597072301158","69","69","69"
"2555","5.602690610562922","5.602690610562922","5.602690610562922","70","70","70","1.3871847621168554","1.3871847621168554","1.3871847621168554","70","70","70","0.799273305003979","0.799273305003979","0.799273305003979","70","70","70","0.58612082659937","0.58612082659937","0.58612082659937","70","70","70"
"2560","5.332486738678067","5.332486738678067","5.332486738678067","71","71","71","1.2782311643979278","1.2782311643979278","1.2782311643979278","71","71","71","0.7097203895933781","0.7097203895933781","0.7097203895933781","71","71","71","0.5123192627902045","0.5123192627902045","0.5123192627902045","71","71","71"
"2565","5.236682434591102","5.236682434591102","5.236682434591102","72","72","72","1.1716389895939268","1.1716389895939268","1.1716389895939268","72","72","72","0.6353444589319456","0.6353444589319456","0.6353444589319456","72","72","72","0.4386854782130934","0.4386854782130934","0.4386854782130934","72","72","72"
"2570","5.048058295679095","5.048058295679095","5.048058295679095","73","73","73","0.989699201872125","0.989699201872125","0.989699201872125","73","73","73","0.5965314911596369","0.5965314911596369","0.5965314911596369","73","73","73","0.38015189055102805","0.38015189055102805","0.38015189055102805","73","73","73"
"2575","4.998148679714653","4.998148679714653","4.998148679714653","74","74","74","0.9820133773424004","0.9820133773424004","0.9820133773424004","74","74","74","0.6054750594040592","0.6054750594040592","0.6054750594040592","74","74","74","0.5291173642882961","0.5291173642882961","0.5291173642882961","74","74","74"
"2580","6.720120455270738","6.720120455270738","6.720120455270738","75","75","75","0.8836299969136693","0.8836299969136693","0.8836299969136693","75","75","75","0.5728877995232979","0.5728877995232979","0.5728877995232979","75","75","75","0.5440907194781908","0.5440907194781908","0.5440907194781908","75","75","75"
"2585","7.089508607789527","7.089508607789527","7.089508607789527","76","76","76","0.7617507615157905","0.7617507615157905","0.7617507615157905","76","76","76","0.55720217747755","0.55720217747755","0.55720217747755","76","76","76","0.42896230482862574","0.42896230482862574","0.42896230482862574","76","76","76"
"2590","7.117605142528414","7.117605142528414","7.117605142528414","77","77","77","0.8051643657671935","0.8051643657671935","0.8051643657671935","77","77","77","0.5478763024574719","0.5478763024574719","0.5478763024574719","77","77","77","0.35312173608961617","0.35312173608961617","0.35312173608961617","77","77","77"
"2595","6.443252864346956","6.443252864346956","6.443252864346956","78","78","78","0.7447288098134355","0.7447288098134355","0.7447288098134355","78","78","78","0.5675437088121909","0.5675437088121909","0.5675437088121909","78","78","78","0.3341299411871741","0.3341299411871741","0.3341299411871741","78","78","78"
"2600","6.17021128235914","6.17021128235914","6.17021128235914","79","79","79","0.7535392456318095","0.7535392456318095","0.7535392456318095","79","79","79","0.5271679458546803","0.5271679458546803","0.5271679458546803","79","79","79","0.5804250097048756","0.5804250097048756","0.5804250097048756","79","79","79"
"2605","6.293626680134439","6.293626680134439","6.293626680134439","80","80","80","0.6537979838507219","0.6537979838507219","0.6537979838507219","80","80","80","0.5005993765787689","0.5005993765787689","0.5005993765787689","80","80","80","0.5793872929905942","0.5793872929905942","0.5793872929905942","80","80","80"
"2610","6.2156161279274755","6.2156161279274755","6.2156161279274755","81","81","81","0.6246528543251947","0.6246528543251947","0.6246528543251947","81","81","81","0.4920591681992767","0.4920591681992767","0.4920591681992767","81","81","81","0.47019983447325014","0.47019983447325014","0.47019983447325014","81","81","81"
"2615","6.402706836809676","6.402706836809676","6.402706836809676","82","82","82","0.5886995655059986","0.5886995655059986","0.5886995655059986","82","82","82","0.44566298189815856","0.44566298189815856","0.44566298189815856","82","82","82","0.37977308249730823","0.37977308249730823","0.37977308249730823","82","82","82"
"2620","5.951432130782506","5.951432130782506","5.951432130782506","83","83","83","0.5463664479965732","0.5463664479965732","0.5463664479965732","83","83","83","0.4288765496849867","0.4288765496849867","0.4288765496849867","83","83","83","0.3185216827109829","0.3185216827109829","0.3185216827109829","83","83","83"
"2625","5.611622919691342","5.611622919691342","5.611622919691342","84","84","84","0.5440818105262707","0.5440818105262707","0.5440818105262707","84","84","84","0.4269164350677395","0.4269164350677395","0.4269164350677395","84","84","84","0.3608633198893171","0.3608633198893171","0.3608633198893171","84","84","84"
