"iter","env2_sgd_2500-3000 - EMA/Loss","env2_sgd_2500-3000 - EMA/Loss__MIN","env2_sgd_2500-3000 - EMA/Loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Loss","env2_lion_shock_2500-3000 - EMA/Loss__MIN","env2_lion_shock_2500-3000 - EMA/Loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Loss","env2_muon_shock_2500-3000 - EMA/Loss__MIN","env2_muon_shock_2500-3000 - EMA/Loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Loss","env2_adamw_shock_2500-3000 - EMA/Loss__MIN","env2_adamw_shock_2500-3000 - EMA/Loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1700","1.0064864273196956","1.0064864273196956","1.0064864273196956","34","34","34","0.6113386637540865","0.6113386637540865","0.6113386637540865","34","34","34","0.6234407994899588","0.6234407994899588","0.6234407994899588","34","34","34","0.5983314888491026","0.5983314888491026","0.5983314888491026","34","34","34"
"1750","1.0224279312213556","1.0224279312213556","1.0224279312213556","35","35","35","0.6087411217598242","0.6087411217598242","0.6087411217598242","35","35","35","0.6241707990054487","0.6241707990054487","0.6241707990054487","35","35","35","0.6002088440275513","0.6002088440275513","0.6002088440275513","35","35","35"
"1800","1.0260518757310693","1.0260518757310693","1.0260518757310693","36","36","36","0.605742098353504","0.605742098353504","0.605742098353504","36","36","36","0.6216481556882062","0.6216481556882062","0.6216481556882062","36","36","36","0.5974130521688888","0.5974130521688888","0.5974130521688888","36","36","36"
"1850","1.011955077691002","1.011955077691002","1.011955077691002","37","37","37","0.6015176768928373","0.6015176768928373","0.6015176768928373","37","37","37","0.6162324373603754","0.6162324373603754","0.6162324373603754","37","37","37","0.5924385890819541","0.5924385890819541","0.5924385890819541","37","37","37"
"1900","1.005043937110714","1.005043937110714","1.005043937110714","38","38","38","0.5806874818547405","0.5806874818547405","0.5806874818547405","38","38","38","0.5979802033452128","0.5979802033452128","0.5979802033452128","38","38","38","0.5739938816534811","0.5739938816534811","0.5739938816534811","38","38","38"
"1950","0.991603439586191","0.991603439586191","0.991603439586191","39","39","39","0.6072235238390586","0.6072235238390586","0.6072235238390586","39","39","39","0.6221507741337794","0.6221507741337794","0.6221507741337794","39","39","39","0.5985184202760316","0.5985184202760316","0.5985184202760316","39","39","39"
"2000","1.0000709849281526","1.0000709849281526","1.0000709849281526","40","40","40","0.5842837073318956","0.5842837073318956","0.5842837073318956","40","40","40","0.6019288563170127","0.6019288563170127","0.6019288563170127","40","40","40","0.578314522014722","0.578314522014722","0.578314522014722","40","40","40"
"2050","1.0087599243285703","1.0087599243285703","1.0087599243285703","41","41","41","0.5976276055725356","0.5976276055725356","0.5976276055725356","41","41","41","0.6155333836827561","0.6155333836827561","0.6155333836827561","41","41","41","0.5903375343177947","0.5903375343177947","0.5903375343177947","41","41","41"
"2100","0.9672021218300252","0.9672021218300252","0.9672021218300252","42","42","42","0.5716730086134844","0.5716730086134844","0.5716730086134844","42","42","42","0.5881013498831275","0.5881013498831275","0.5881013498831275","42","42","42","0.5649913019490329","0.5649913019490329","0.5649913019490329","42","42","42"
"2150","0.9994136327586284","0.9994136327586284","0.9994136327586284","43","43","43","0.6000862614931433","0.6000862614931433","0.6000862614931433","43","43","43","0.6161542726837494","0.6161542726837494","0.6161542726837494","43","43","43","0.5928793984282954","0.5928793984282954","0.5928793984282954","43","43","43"
