"iter","env2_sgd_2500-3000 - EMA/KL_Div","env2_sgd_2500-3000 - EMA/KL_Div__MIN","env2_sgd_2500-3000 - EMA/KL_Div__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/KL_Div","env2_lion_shock_2500-3000 - EMA/KL_Div__MIN","env2_lion_shock_2500-3000 - EMA/KL_Div__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/KL_Div","env2_muon_shock_2500-3000 - EMA/KL_Div__MIN","env2_muon_shock_2500-3000 - EMA/KL_Div__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/KL_Div","env2_adamw_shock_2500-3000 - EMA/KL_Div__MIN","env2_adamw_shock_2500-3000 - EMA/KL_Div__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1500","0.0011510592278646016","0.0011510592278646016","0.0011510592278646016","30","30","30","0.0008365178709735345","0.0008365178709735345","0.0008365178709735345","30","30","30","0.0012673226849607973","0.0012673226849607973","0.0012673226849607973","30","30","30","0.004756369720407776","0.004756369720407776","0.004756369720407776","30","30","30"
"1550","0.0011809628309411022","0.0011809628309411022","0.0011809628309411022","31","31","31","0.0009546258263263142","0.0009546258263263142","0.0009546258263263142","31","31","31","0.0011554604930298347","0.0011554604930298347","0.0011554604930298347","31","31","31","0.004931120679594282","0.004931120679594282","0.004931120679594282","31","31","31"
"1600","0.0011038621294129417","0.0011038621294129417","0.0011038621294129417","32","32","32","0.0007218461697617419","0.0007218461697617419","0.0007218461697617419","32","32","32","0.000989337605422053","0.000989337605422053","0.000989337605422053","32","32","32","0.004754545527748314","0.004754545527748314","0.004754545527748314","32","32","32"
"1650","0.001206910683526804","0.001206910683526804","0.001206910683526804","33","33","33","0.0008785204213601237","0.0008785204213601237","0.0008785204213601237","33","33","33","0.001232672788677741","0.001232672788677741","0.001232672788677741","33","33","33","0.004440775934088894","0.004440775934088894","0.004440775934088894","33","33","33"
"1700","0.0013280740997718755","0.0013280740997718755","0.0013280740997718755","34","34","34","0.0009829594232621552","0.0009829594232621552","0.0009829594232621552","34","34","34","0.001640581629163061","0.001640581629163061","0.001640581629163061","34","34","34","0.004472194788113255","0.004472194788113255","0.004472194788113255","34","34","34"
"1750","0.0011993120222500825","0.0011993120222500825","0.0011993120222500825","35","35","35","0.0007034244321030981","0.0007034244321030981","0.0007034244321030981","35","35","35","0.0011781024498054423","0.0011781024498054423","0.0011781024498054423","35","35","35","0.004365125458824333","0.004365125458824333","0.004365125458824333","35","35","35"
"1800","0.0014580724667529277","0.0014580724667529277","0.0014580724667529277","36","36","36","0.0010712936306359671","0.0010712936306359671","0.0010712936306359671","36","36","36","0.0013860209332170173","0.0013860209332170173","0.0013860209332170173","36","36","36","0.0045714767674515265","0.0045714767674515265","0.0045714767674515265","36","36","36"
"1850","0.0011716888594112047","0.0011716888594112047","0.0011716888594112047","37","37","37","0.0006338910203382886","0.0006338910203382886","0.0006338910203382886","37","37","37","0.0010957660115259585","0.0010957660115259585","0.0010957660115259585","37","37","37","0.0038847761984412287","0.0038847761984412287","0.0038847761984412287","37","37","37"
"1900","0.0011801001801350088","0.0011801001801350088","0.0011801001801350088","38","38","38","0.0008274733241055198","0.0008274733241055198","0.0008274733241055198","38","38","38","0.0012264814549843679","0.0012264814549843679","0.0012264814549843679","38","38","38","0.003954837192839235","0.003954837192839235","0.003954837192839235","38","38","38"
"1950","0.0011793108501992953","0.0011793108501992953","0.0011793108501992953","39","39","39","0.0009455420077468012","0.0009455420077468012","0.0009455420077468012","39","39","39","0.0014932691810349973","0.0014932691810349973","0.0014932691810349973","39","39","39","0.004023549478756184","0.004023549478756184","0.004023549478756184","39","39","39"
"2000","0.0011488420760039052","0.0011488420760039052","0.0011488420760039052","40","40","40","0.0006697215571821318","0.0006697215571821318","0.0006697215571821318","40","40","40","0.0011442628740208093","0.0011442628740208093","0.0011442628740208093","40","40","40","0.0037107410666566087","0.0037107410666566087","0.0037107410666566087","40","40","40"
"2050","0.0011669189477582242","0.0011669189477582242","0.0011669189477582242","41","41","41","0.0007339875411436168","0.0007339875411436168","0.0007339875411436168","41","41","41","0.0010938232758501048","0.0010938232758501048","0.0010938232758501048","41","41","41","0.003794055638159244","0.003794055638159244","0.003794055638159244","41","41","41"
"2100","0.0013118124403084473","0.0013118124403084473","0.0013118124403084473","42","42","42","0.0007902082439493807","0.0007902082439493807","0.0007902082439493807","42","42","42","0.001372568620201011","0.001372568620201011","0.001372568620201011","42","42","42","0.003503782242644474","0.003503782242644474","0.003503782242644474","42","42","42"
"2150","0.001079146561667308","0.001079146561667308","0.001079146561667308","43","43","43","0.0007666775359201454","0.0007666775359201454","0.0007666775359201454","43","43","43","0.001194974736460091","0.001194974736460091","0.001194974736460091","43","43","43","0.0033871992934206506","0.0033871992934206506","0.0033871992934206506","43","43","43"
"2200","0.0011988363062342634","0.0011988363062342634","0.0011988363062342634","44","44","44","0.0009195747631993993","0.0009195747631993993","0.0009195747631993993","44","44","44","0.0015974994406097614","0.0015974994406097614","0.0015974994406097614","44","44","44","0.003344880151296259","0.003344880151296259","0.003344880151296259","44","44","44"
"2250","0.0010469386578662628","0.0010469386578662628","0.0010469386578662628","45","45","45","0.0006329649344272823","0.0006329649344272823","0.0006329649344272823","45","45","45","0.0012896224211258853","0.0012896224211258853","0.0012896224211258853","45","45","45","0.0031584159111264936","0.0031584159111264936","0.0031584159111264936","45","45","45"
"2300","0.0012731212805298102","0.0012731212805298102","0.0012731212805298102","46","46","46","0.0010159086861709487","0.0010159086861709487","0.0010159086861709487","46","46","46","0.001779039151495438","0.001779039151495438","0.001779039151495438","46","46","46","0.00318876258197963","0.00318876258197963","0.00318876258197963","46","46","46"
"2350","0.0013938748082950756","0.0013938748082950756","0.0013938748082950756","47","47","47","0.001093690944705905","0.001093690944705905","0.001093690944705905","47","47","47","0.0015346931351397158","0.0015346931351397158","0.0015346931351397158","47","47","47","0.003213238887687204","0.003213238887687204","0.003213238887687204","47","47","47"
"2400","0.0013347073531294444","0.0013347073531294444","0.0013347073531294444","48","48","48","0.0008433056155739997","0.0008433056155739997","0.0008433056155739997","48","48","48","0.0013674683760457088","0.0013674683760457088","0.0013674683760457088","48","48","48","0.002845279777839227","0.002845279777839227","0.002845279777839227","48","48","48"
"2450","0.0021299633839222025","0.0021299633839222025","0.0021299633839222025","49","49","49","0.001009986041903225","0.001009986041903225","0.001009986041903225","49","49","49","0.0014489996519937254","0.0014489996519937254","0.0014489996519937254","49","49","49","0.00359689196959517","0.00359689196959517","0.00359689196959517","49","49","49"
"2455","0.0023449231470604815","0.0023449231470604815","0.0023449231470604815","50","50","50","0.001351341882576257","0.001351341882576257","0.001351341882576257","50","50","50","0.0021714039173665344","0.0021714039173665344","0.0021714039173665344","50","50","50","0.004552285716305898","0.004552285716305898","0.004552285716305898","50","50","50"
"2460","0.002624609660924762","0.002624609660924762","0.002624609660924762","51","51","51","0.001499787570866298","0.001499787570866298","0.001499787570866298","51","51","51","0.0024470990660522777","0.0024470990660522777","0.0024470990660522777","51","51","51","0.005374282572426359","0.005374282572426359","0.005374282572426359","51","51","51"
"2465","0.0027293732347931","0.0027293732347931","0.0027293732347931","52","52","52","0.0016578726413607452","0.0016578726413607452","0.0016578726413607452","52","52","52","0.002859120561538839","0.002859120561538839","0.002859120561538839","52","52","52","0.0058757288880192625","0.0058757288880192625","0.0058757288880192625","52","52","52"
"2470","0.0029751166329000855","0.0029751166329000855","0.0029751166329000855","53","53","53","0.0017749778600931435","0.0017749778600931435","0.0017749778600931435","53","53","53","0.00306453202095988","0.00306453202095988","0.00306453202095988","53","53","53","0.006313105335487212","0.006313105335487212","0.006313105335487212","53","53","53"
"2475","0.0029670108338711552","0.0029670108338711552","0.0029670108338711552","54","54","54","0.0017813037767564891","0.0017813037767564891","0.0017813037767564891","54","54","54","0.0032242847020319933","0.0032242847020319933","0.0032242847020319933","54","54","54","0.006241654412142097","0.006241654412142097","0.006241654412142097","54","54","54"
