"iter","env2_sgd_2500-3000 - EMA/dropped_tokens","env2_sgd_2500-3000 - EMA/dropped_tokens__MIN","env2_sgd_2500-3000 - EMA/dropped_tokens__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/dropped_tokens","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/dropped_tokens","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/dropped_tokens","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2200","176.91553844455615","176.91553844455615","176.91553844455615","44","44","44","14.800053122798294","14.800053122798294","14.800053122798294","44","44","44","24.06634031981178","24.06634031981178","24.06634031981178","44","44","44","8.608690085616368","8.608690085616368","8.608690085616368","44","44","44"
"2250","133.91178291582526","133.91178291582526","133.91178291582526","45","45","45","9.5762761468513","9.5762761468513","9.5762761468513","45","45","45","13.924032508071175","13.924032508071175","13.924032508071175","45","45","45","25.644367253530753","25.644367253530753","25.644367253530753","45","45","45"
"2300","125.79015122675962","125.79015122675962","125.79015122675962","46","46","46","13.649353974584095","13.649353974584095","13.649353974584095","46","46","46","15.671761333526018","15.671761333526018","15.671761333526018","46","46","46","124.83216530415866","124.83216530415866","124.83216530415866","46","46","46"
"2350","308.44829416271756","308.44829416271756","308.44829416271756","47","47","47","8.170345702110147","8.170345702110147","8.170345702110147","47","47","47","121.88076873501578","121.88076873501578","121.88076873501578","47","47","47","109.94335691862067","109.94335691862067","109.94335691862067","47","47","47"
"2400","224.38967317119602","224.38967317119602","224.38967317119602","48","48","48","9.142108125114769","9.142108125114769","9.142108125114769","48","48","48","69.82814608415565","69.82814608415565","69.82814608415565","48","48","48","0.5666233470967342","0.5666233470967342","0.5666233470967342","48","48","48"
"2450","882.8564539343685","882.8564539343685","882.8564539343685","49","49","49","244.6471163701979","244.6471163701979","244.6471163701979","49","49","49","186.75987856806165","186.75987856806165","186.75987856806165","49","49","49","238.00292024935817","238.00292024935817","238.00292024935817","49","49","49"
"2455","632.1179074837053","632.1179074837053","632.1179074837053","50","50","50","151.56167574543818","151.56167574543818","151.56167574543818","50","50","50","128.07984069565475","128.07984069565475","128.07984069565475","50","50","50","175.03834437804352","175.03834437804352","175.03834437804352","50","50","50"
"2460","713.0593031900531","713.0593031900531","713.0593031900531","51","51","51","143.2956539109238","143.2956539109238","143.2956539109238","51","51","51","101.42986513237717","101.42986513237717","101.42986513237717","51","51","51","142.95839197179092","142.95839197179092","142.95839197179092","51","51","51"
"2465","534.5543879406946","534.5543879406946","534.5543879406946","52","52","52","84.61465067786139","84.61465067786139","84.61465067786139","52","52","52","88.4933210620174","88.4933210620174","88.4933210620174","52","52","52","115.21550087542283","115.21550087542283","115.21550087542283","52","52","52"
"2470","597.1490205351008","597.1490205351008","597.1490205351008","53","53","53","216.4641050787704","216.4641050787704","216.4641050787704","53","53","53","138.95442115391066","138.95442115391066","138.95442115391066","53","53","53","168.93360111192845","168.93360111192845","168.93360111192845","53","53","53"
"2475","480.31052513577174","480.31052513577174","480.31052513577174","54","54","54","136.71988940796314","136.71988940796314","136.71988940796314","54","54","54","85.2511961471727","85.2511961471727","85.2511961471727","54","54","54","114.75360212058266","114.75360212058266","114.75360212058266","54","54","54"
"2480","428.21856198742194","428.21856198742194","428.21856198742194","55","55","55","80.73172749650816","80.73172749650816","80.73172749650816","55","55","55","68.93997881294402","68.93997881294402","68.93997881294402","55","55","55","86.26085451618286","86.26085451618286","86.26085451618286","55","55","55"
"2485","506.35877866795283","506.35877866795283","506.35877866795283","56","56","56","47.67127776941311","47.67127776941311","47.67127776941311","56","56","56","51.30836808925532","51.30836808925532","51.30836808925532","56","56","56","52.03617198326083","52.03617198326083","52.03617198326083","56","56","56"
"2490","455.5997952156395","455.5997952156395","455.5997952156395","57","57","57","28.149412810060753","28.149412810060753","28.149412810060753","57","57","57","42.49707827302437","42.49707827302437","42.49707827302437","57","57","57","30.726839194395698","30.726839194395698","30.726839194395698","57","57","57"
"2495","404.42712307688305","404.42712307688305","404.42712307688305","58","58","58","16.621946770212777","16.621946770212777","16.621946770212777","58","58","58","45.39409974943816","45.39409974943816","45.39409974943816","58","58","58","64.14389127589871","64.14389127589871","64.14389127589871","58","58","58"
"2500","7345.110171905669","7345.110171905669","7345.110171905669","59","59","59","4821.315093348343","4821.315093348343","4821.315093348343","59","59","59","4810.504761961046","4810.504761961046","4810.504761961046","59","59","59","5038.376326359506","5038.376326359506","5038.376326359506","59","59","59"
"2505","11343.21410540858","11343.21410540858","11343.21410540858","60","60","60","6855.638349471264","6855.638349471264","6855.638349471264","60","60","60","6749.854956890378","6749.854956890378","6749.854956890378","60","60","60","6516.610836952024","6516.610836952024","6516.610836952024","60","60","60"
"2510","11468.354497102715","11468.354497102715","11468.354497102715","61","61","61","7994.385888979286","7994.385888979286","7994.385888979286","61","61","61","6481.5218534942","6481.5218534942","6481.5218534942","61","61","61","7320.193533111802","7320.193533111802","7320.193533111802","61","61","61"
"2515","10467.148646994183","10467.148646994183","10467.148646994183","62","62","62","8153.504923583379","8153.504923583379","8153.504923583379","62","62","62","5868.77383926979","5868.77383926979","5868.77383926979","62","62","62","6971.101079367189","6971.101079367189","6971.101079367189","62","62","62"
"2520","9538.946604563596","9538.946604563596","9538.946604563596","63","63","63","7480.66312232675","7480.66312232675","7480.66312232675","63","63","63","5873.852264350418","5873.852264350418","5873.852264350418","63","63","63","7302.6654763555325","7302.6654763555325","7302.6654763555325","63","63","63"
"2525","8672.45258052876","8672.45258052876","8672.45258052876","64","64","64","6682.656767102724","6682.656767102724","6682.656767102724","64","64","64","5227.15102357628","5227.15102357628","5227.15102357628","64","64","64","6470.75093713318","6470.75093713318","6470.75093713318","64","64","64"
"2530","7391.796524276428","7391.796524276428","7391.796524276428","65","65","65","5804.841994406488","5804.841994406488","5804.841994406488","65","65","65","4866.980407911558","4866.980407911558","4866.980407911558","65","65","65","5555.113720867771","5555.113720867771","5555.113720867771","65","65","65"
"2535","6562.881929619987","6562.881929619987","6562.881929619987","66","66","66","5393.8011492770875","5393.8011492770875","5393.8011492770875","66","66","66","4239.803261067696","4239.803261067696","4239.803261067696","66","66","66","4875.439101035211","4875.439101035211","4875.439101035211","66","66","66"
"2540","5542.816150621307","5542.816150621307","5542.816150621307","67","67","67","4371.985640636627","4371.985640636627","4371.985640636627","67","67","67","3411.5614276278643","3411.5614276278643","3411.5614276278643","67","67","67","4289.898034770282","4289.898034770282","4289.898034770282","67","67","67"
"2545","5515.377508780377","5515.377508780377","5515.377508780377","68","68","68","4091.9138009395224","4091.9138009395224","4091.9138009395224","68","68","68","3587.492907399978","3587.492907399978","3587.492907399978","68","68","68","4073.9418905515045","4073.9418905515045","4073.9418905515045","68","68","68"
"2550","4956.875265159725","4956.875265159725","4956.875265159725","69","69","69","3455.2341803167787","3455.2341803167787","3455.2341803167787","69","69","69","3322.0786868906125","3322.0786868906125","3322.0786868906125","69","69","69","3493.9219469517584","3493.9219469517584","3493.9219469517584","69","69","69"
"2555","4405.785275324167","4405.785275324167","4405.785275324167","70","70","70","3221.381231135255","3221.381231135255","3221.381231135255","70","70","70","2946.1542438220376","2946.1542438220376","2946.1542438220376","70","70","70","2554.225970455544","2554.225970455544","2554.225970455544","70","70","70"
"2560","3965.0721472261675","3965.0721472261675","3965.0721472261675","71","71","71","2469.2934031730565","2469.2934031730565","2469.2934031730565","71","71","71","2436.274619434475","2436.274619434475","2436.274619434475","71","71","71","2127.3448932942943","2127.3448932942943","2127.3448932942943","71","71","71"
"2565","3427.73545221558","3427.73545221558","3427.73545221558","72","72","72","1969.0930616396583","1969.0930616396583","1969.0930616396583","72","72","72","1971.5958000298633","1971.5958000298633","1971.5958000298633","72","72","72","1467.675886041348","1467.675886041348","1467.675886041348","72","72","72"
"2570","3263.043507178778","3263.043507178778","3263.043507178778","73","73","73","1659.4297619676022","1659.4297619676022","1659.4297619676022","73","73","73","1886.5076039596343","1886.5076039596343","1886.5076039596343","73","73","73","1176.6479339485556","1176.6479339485556","1176.6479339485556","73","73","73"
"2575","3094.6945605539972","3094.6945605539972","3094.6945605539972","74","74","74","1423.5766801442496","1423.5766801442496","1423.5766801442496","74","74","74","1827.1638750621248","1827.1638750621248","1827.1638750621248","74","74","74","1124.7988385172828","1124.7988385172828","1124.7988385172828","74","74","74"
"2580","3147.3861910615296","3147.3861910615296","3147.3861910615296","75","75","75","1408.207793858378","1408.207793858378","1408.207793858378","75","75","75","2158.221996585434","2158.221996585434","2158.221996585434","75","75","75","1395.1824661560704","1395.1824661560704","1395.1824661560704","75","75","75"
"2585","3059.200071959923","3059.200071959923","3059.200071959923","76","76","76","1250.2326201954338","1250.2326201954338","1250.2326201954338","76","76","76","1994.0085067637328","1994.0085067637328","1994.0085067637328","76","76","76","1579.5412944404982","1579.5412944404982","1579.5412944404982","76","76","76"
"2590","3159.0270504916152","3159.0270504916152","3159.0270504916152","77","77","77","1192.049859899202","1192.049859899202","1192.049859899202","77","77","77","1744.2420831589166","1744.2420831589166","1744.2420831589166","77","77","77","1394.00333895417","1394.00333895417","1394.00333895417","77","77","77"
"2595","3262.8738830447946","3262.8738830447946","3262.8738830447946","78","78","78","1194.89352177188","1194.89352177188","1194.89352177188","78","78","78","1598.657507684509","1598.657507684509","1598.657507684509","78","78","78","1185.3450316190479","1185.3450316190479","1185.3450316190479","78","78","78"
"2600","3095.4943991991213","3095.4943991991213","3095.4943991991213","79","79","79","923.0726756710774","923.0726756710774","923.0726756710774","79","79","79","1641.391271712626","1641.391271712626","1641.391271712626","79","79","79","1531.9343877207318","1531.9343877207318","1531.9343877207318","79","79","79"
