"iter","env2_sgd_2500-3000 - train/z_loss","env2_sgd_2500-3000 - train/z_loss__MIN","env2_sgd_2500-3000 - train/z_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/z_loss","env2_lion_shock_2500-3000 - train/z_loss__MIN","env2_lion_shock_2500-3000 - train/z_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/z_loss","env2_muon_shock_2500-3000 - train/z_loss__MIN","env2_muon_shock_2500-3000 - train/z_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/z_loss","env2_adamw_shock_2500-3000 - train/z_loss__MIN","env2_adamw_shock_2500-3000 - train/z_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1500","0.5965573191642761","0.5965573191642761","0.5965573191642761","30","30","30","0.6307364851236343","0.6307364851236343","0.6307364851236343","30","30","30","0.9565278738737106","0.9565278738737106","0.9565278738737106","30","30","30","0.6538050919771194","0.6538050919771194","0.6538050919771194","30","30","30"
"1550","0.7318636775016785","0.7318636775016785","0.7318636775016785","31","31","31","0.6193991154432297","0.6193991154432297","0.6193991154432297","31","31","31","0.9999748319387436","0.9999748319387436","0.9999748319387436","31","31","31","0.6828064322471619","0.6828064322471619","0.6828064322471619","31","31","31"
"1600","0.6098578125238419","0.6098578125238419","0.6098578125238419","32","32","32","0.5708031505346298","0.5708031505346298","0.5708031505346298","32","32","32","0.9151684939861298","0.9151684939861298","0.9151684939861298","32","32","32","0.6323733478784561","0.6323733478784561","0.6323733478784561","32","32","32"
"1650","0.619194746017456","0.619194746017456","0.619194746017456","33","33","33","0.6078268736600876","0.6078268736600876","0.6078268736600876","33","33","33","1.0239487439393997","1.0239487439393997","1.0239487439393997","33","33","33","0.6421438008546829","0.6421438008546829","0.6421438008546829","33","33","33"
"1700","0.7801915556192398","0.7801915556192398","0.7801915556192398","34","34","34","0.5510019659996033","0.5510019659996033","0.5510019659996033","34","34","34","0.9924155175685883","0.9924155175685883","0.9924155175685883","34","34","34","0.609568327665329","0.609568327665329","0.609568327665329","34","34","34"
"1750","0.7164370119571686","0.7164370119571686","0.7164370119571686","35","35","35","0.540448784828186","0.540448784828186","0.540448784828186","35","35","35","0.9828660786151886","0.9828660786151886","0.9828660786151886","35","35","35","0.6048149019479752","0.6048149019479752","0.6048149019479752","35","35","35"
"1800","0.6374067068099976","0.6374067068099976","0.6374067068099976","36","36","36","0.5345094501972198","0.5345094501972198","0.5345094501972198","36","36","36","0.9332311749458313","0.9332311749458313","0.9332311749458313","36","36","36","0.5893483608961105","0.5893483608961105","0.5893483608961105","36","36","36"
"1850","0.6819044500589371","0.6819044500589371","0.6819044500589371","37","37","37","0.516446128487587","0.516446128487587","0.516446128487587","37","37","37","0.9564524292945862","0.9564524292945862","0.9564524292945862","37","37","37","0.5712200999259949","0.5712200999259949","0.5712200999259949","37","37","37"
"1900","0.9546726793050766","0.9546726793050766","0.9546726793050766","38","38","38","0.5043094828724861","0.5043094828724861","0.5043094828724861","38","38","38","1.0104612410068512","1.0104612410068512","1.0104612410068512","38","38","38","0.5894789546728134","0.5894789546728134","0.5894789546728134","38","38","38"
"1950","0.6299163997173309","0.6299163997173309","0.6299163997173309","39","39","39","0.5066049098968506","0.5066049098968506","0.5066049098968506","39","39","39","0.8920900076627731","0.8920900076627731","0.8920900076627731","39","39","39","0.5512564927339554","0.5512564927339554","0.5512564927339554","39","39","39"
"2000","0.6504103988409042","0.6504103988409042","0.6504103988409042","40","40","40","0.5252231359481812","0.5252231359481812","0.5252231359481812","40","40","40","0.8896559327840805","0.8896559327840805","0.8896559327840805","40","40","40","0.5579099059104919","0.5579099059104919","0.5579099059104919","40","40","40"
"2050","0.6012423485517502","0.6012423485517502","0.6012423485517502","41","41","41","0.47871316969394684","0.47871316969394684","0.47871316969394684","41","41","41","0.9052471965551376","0.9052471965551376","0.9052471965551376","41","41","41","0.5713702887296677","0.5713702887296677","0.5713702887296677","41","41","41"
"2100","0.7317112535238266","0.7317112535238266","0.7317112535238266","42","42","42","0.4551296979188919","0.4551296979188919","0.4551296979188919","42","42","42","0.9028238207101822","0.9028238207101822","0.9028238207101822","42","42","42","0.5388042479753494","0.5388042479753494","0.5388042479753494","42","42","42"
"2150","0.5737122595310211","0.5737122595310211","0.5737122595310211","43","43","43","0.4378327652812004","0.4378327652812004","0.4378327652812004","43","43","43","0.9025178104639053","0.9025178104639053","0.9025178104639053","43","43","43","0.522228479385376","0.522228479385376","0.522228479385376","43","43","43"
"2200","0.6486668437719345","0.6486668437719345","0.6486668437719345","44","44","44","0.44280456751585007","0.44280456751585007","0.44280456751585007","44","44","44","0.8594030737876892","0.8594030737876892","0.8594030737876892","44","44","44","0.4945827051997185","0.4945827051997185","0.4945827051997185","44","44","44"
"2250","0.5865226984024048","0.5865226984024048","0.5865226984024048","45","45","45","0.429716557264328","0.429716557264328","0.429716557264328","45","45","45","0.8639575242996216","0.8639575242996216","0.8639575242996216","45","45","45","0.48612460494041443","0.48612460494041443","0.48612460494041443","45","45","45"
"2300","0.7551739811897278","0.7551739811897278","0.7551739811897278","46","46","46","0.4671865627169609","0.4671865627169609","0.4671865627169609","46","46","46","0.9596844166517258","0.9596844166517258","0.9596844166517258","46","46","46","0.5125668123364449","0.5125668123364449","0.5125668123364449","46","46","46"
"2350","0.677427127957344","0.677427127957344","0.677427127957344","47","47","47","0.4436960741877556","0.4436960741877556","0.4436960741877556","47","47","47","0.9246506839990616","0.9246506839990616","0.9246506839990616","47","47","47","0.5395537167787552","0.5395537167787552","0.5395537167787552","47","47","47"
"2400","0.6168631166219711","0.6168631166219711","0.6168631166219711","48","48","48","0.4225504919886589","0.4225504919886589","0.4225504919886589","48","48","48","0.9242998361587524","0.9242998361587524","0.9242998361587524","48","48","48","0.46755219250917435","0.46755219250917435","0.46755219250917435","48","48","48"
