"iter","env1_muon - train/loss_instant","env1_muon - train/loss_instant__MIN","env1_muon - train/loss_instant__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - train/loss_instant","env1_lion - train/loss_instant__MIN","env1_lion - train/loss_instant__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - train/loss_instant","env1_adam - train/loss_instant__MIN","env1_adam - train/loss_instant__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - train/loss_instant"," env1_sgd - train/loss_instant__MIN"," env1_sgd - train/loss_instant__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - train/loss_instant","env1_adamw - train/loss_instant__MIN","env1_adamw - train/loss_instant__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2950","4.473594665527344","4.473594665527344","4.473594665527344","59","59","59","4.45652437210083","4.45652437210083","4.45652437210083","59","59","59","4.442749977111816","4.442749977111816","4.442749977111816","59","59","59","6.530418872833252","6.530418872833252","6.530418872833252","59","59","59","4.400516510009766","4.400516510009766","4.400516510009766","2900","2900","2900"
"3000","4.389257431030273","4.389257431030273","4.389257431030273","60","60","60","4.419537544250488","4.419537544250488","4.419537544250488","60","60","60","4.3867950439453125","4.3867950439453125","4.3867950439453125","60","60","60","6.6256608963012695","6.6256608963012695","6.6256608963012695","60","60","60","4.4489240646362305","4.4489240646362305","4.4489240646362305","2951","2951","2951"
"3050","4.583650588989258","4.583650588989258","4.583650588989258","61","61","61","4.578785419464111","4.578785419464111","4.578785419464111","61","61","61","4.566764831542969","4.566764831542969","4.566764831542969","61","61","61","6.7354817390441895","6.7354817390441895","6.7354817390441895","61","61","61","4.411720275878906","4.411720275878906","4.411720275878906","3000","3000","3000"
"3100","4.514871120452881","4.514871120452881","4.514871120452881","62","62","62","4.479123115539551","4.479123115539551","4.479123115539551","62","62","62","4.498272895812988","4.498272895812988","4.498272895812988","62","62","62","6.592757225036621","6.592757225036621","6.592757225036621","62","62","62","4.472585678100586","4.472585678100586","4.472585678100586","3050","3050","3050"
"3150","4.46824836730957","4.46824836730957","4.46824836730957","63","63","63","4.43178653717041","4.43178653717041","4.43178653717041","63","63","63","4.451998233795166","4.451998233795166","4.451998233795166","63","63","63","6.649620056152344","6.649620056152344","6.649620056152344","63","63","63","4.384884834289551","4.384884834289551","4.384884834289551","3100","3100","3100"
"3200","4.5413947105407715","4.5413947105407715","4.5413947105407715","64","64","64","4.502521991729736","4.502521991729736","4.502521991729736","64","64","64","4.474191188812256","4.474191188812256","4.474191188812256","64","64","64","6.594194412231445","6.594194412231445","6.594194412231445","64","64","64","4.39021110534668","4.39021110534668","4.39021110534668","3150","3150","3150"
"3250","4.359007835388184","4.359007835388184","4.359007835388184","65","65","65","4.3406219482421875","4.3406219482421875","4.3406219482421875","65","65","65","4.379538536071777","4.379538536071777","4.379538536071777","65","65","65","6.53104305267334","6.53104305267334","6.53104305267334","65","65","65","4.39639949798584","4.39639949798584","4.39639949798584","3201","3201","3201"
"3300","4.539180278778076","4.539180278778076","4.539180278778076","66","66","66","4.52581262588501","4.52581262588501","4.52581262588501","66","66","66","4.579380035400391","4.579380035400391","4.579380035400391","66","66","66","6.839222431182861","6.839222431182861","6.839222431182861","66","66","66","4.326290130615234","4.326290130615234","4.326290130615234","3250","3250","3250"
"3350","4.378126621246338","4.378126621246338","4.378126621246338","67","67","67","4.366451263427734","4.366451263427734","4.366451263427734","67","67","67","4.414721965789795","4.414721965789795","4.414721965789795","67","67","67","6.720407962799072","6.720407962799072","6.720407962799072","67","67","67","4.2466511726379395","4.2466511726379395","4.2466511726379395","3300","3300","3300"
"3400","4.399493217468262","4.399493217468262","4.399493217468262","68","68","68","4.354907989501953","4.354907989501953","4.354907989501953","68","68","68","4.36142635345459","4.36142635345459","4.36142635345459","68","68","68","6.556766510009766","6.556766510009766","6.556766510009766","68","68","68","4.274605751037598","4.274605751037598","4.274605751037598","3350","3350","3350"
