"iter","env1_muon - global_router/kl_divergence_from_uni","env1_muon - global_router/kl_divergence_from_uni__MIN","env1_muon - global_router/kl_divergence_from_uni__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - global_router/kl_divergence_from_uni","env1_lion - global_router/kl_divergence_from_uni__MIN","env1_lion - global_router/kl_divergence_from_uni__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - global_router/kl_divergence_from_uni","env1_adam - global_router/kl_divergence_from_uni__MIN","env1_adam - global_router/kl_divergence_from_uni__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - global_router/kl_divergence_from_uni"," env1_sgd - global_router/kl_divergence_from_uni__MIN"," env1_sgd - global_router/kl_divergence_from_uni__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - global_router/kl_divergence_from_uni","env1_adamw - global_router/kl_divergence_from_uni__MIN","env1_adamw - global_router/kl_divergence_from_uni__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2900","0.05176772549748421","0.05176772549748421","0.05176772549748421","58","58","58","0.0308277178555727","0.0308277178555727","0.0308277178555727","58","58","58","0.039365366101264954","0.039365366101264954","0.039365366101264954","58","58","58","0.08811013773083687","0.08811013773083687","0.08811013773083687","58","58","58","0.027496551163494587","0.027496551163494587","0.027496551163494587","2850","2850","2850"
"2950","0.05138148553669453","0.05138148553669453","0.05138148553669453","59","59","59","0.025437509641051292","0.025437509641051292","0.025437509641051292","59","59","59","0.03349669370800257","0.03349669370800257","0.03349669370800257","59","59","59","0.09244605526328087","0.09244605526328087","0.09244605526328087","59","59","59","0.021476243622601032","0.021476243622601032","0.021476243622601032","2900","2900","2900"
"3000","0.0535520575940609","0.0535520575940609","0.0535520575940609","60","60","60","0.024057723581790924","0.024057723581790924","0.024057723581790924","60","60","60","0.029538133181631565","0.029538133181631565","0.029538133181631565","60","60","60","0.09090454876422882","0.09090454876422882","0.09090454876422882","60","60","60","0.026824191212654114","0.026824191212654114","0.026824191212654114","2951","2951","2951"
"3050","0.049989404156804085","0.049989404156804085","0.049989404156804085","61","61","61","0.026483023539185524","0.026483023539185524","0.026483023539185524","61","61","61","0.036052518524229527","0.036052518524229527","0.036052518524229527","61","61","61","0.08907072246074677","0.08907072246074677","0.08907072246074677","61","61","61","0.023741346783936024","0.023741346783936024","0.023741346783936024","3000","3000","3000"
"3100","0.05025416240096092","0.05025416240096092","0.05025416240096092","62","62","62","0.02717014029622078","0.02717014029622078","0.02717014029622078","62","62","62","0.03981215227395296","0.03981215227395296","0.03981215227395296","62","62","62","0.09555540606379509","0.09555540606379509","0.09555540606379509","62","62","62","0.028119254857301712","0.028119254857301712","0.028119254857301712","3050","3050","3050"
"3150","0.05006873048841953","0.05006873048841953","0.05006873048841953","63","63","63","0.02225610241293907","0.02225610241293907","0.02225610241293907","63","63","63","0.035001976415514946","0.035001976415514946","0.035001976415514946","63","63","63","0.08647338300943375","0.08647338300943375","0.08647338300943375","63","63","63","0.029451806098222733","0.029451806098222733","0.029451806098222733","3100","3100","3100"
"3200","0.05197514034807682","0.05197514034807682","0.05197514034807682","64","64","64","0.028411056846380234","0.028411056846380234","0.028411056846380234","64","64","64","0.04111999552696943","0.04111999552696943","0.04111999552696943","64","64","64","0.0863187201321125","0.0863187201321125","0.0863187201321125","64","64","64","0.023190190084278584","0.023190190084278584","0.023190190084278584","3150","3150","3150"
"3250","0.04820651188492775","0.04820651188492775","0.04820651188492775","65","65","65","0.024734104052186012","0.024734104052186012","0.024734104052186012","65","65","65","0.03669753670692444","0.03669753670692444","0.03669753670692444","65","65","65","0.08493227884173393","0.08493227884173393","0.08493227884173393","65","65","65","0.02545427344739437","0.02545427344739437","0.02545427344739437","3201","3201","3201"
"3300","0.04769938252866268","0.04769938252866268","0.04769938252866268","66","66","66","0.02823273465037346","0.02823273465037346","0.02823273465037346","66","66","66","0.035208349116146564","0.035208349116146564","0.035208349116146564","66","66","66","0.08512827381491661","0.08512827381491661","0.08512827381491661","66","66","66","0.024958067573606968","0.024958067573606968","0.024958067573606968","3250","3250","3250"
"3350","0.04030503146350384","0.04030503146350384","0.04030503146350384","67","67","67","0.024481313303112984","0.024481313303112984","0.024481313303112984","67","67","67","0.03336438722908497","0.03336438722908497","0.03336438722908497","67","67","67","0.0843348540365696","0.0843348540365696","0.0843348540365696","67","67","67","0.024085799232125282","0.024085799232125282","0.024085799232125282","3300","3300","3300"
